level,file,occurrences,route_like_snippet
LIV-219,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock.
- Speaker calibration room layout for infrastructure-based 5.1 routing.
- Convolution reverb / IR loader lab with waveform, room preview, and stereo return choices.
Kept route logic consistent with the existing rule set:
- Stagebox signal path requires an audio snake in Build mode.
- IEM uses IEM Transmitter, not headphones."
LIV-213,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"Signal Flow v1.40.96 - Visual Modes Rework
Based on user notes from v1.40.95.
Changed:
- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels."
LIV-214,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"Based on user notes from v1.40.95.
Changed:
- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels.
- Stereo pair completeness.
- Live sound monitor vs PA separation.
- Existing v1.40.95 levels remain overridden by the v1.40.96 patch layer."
LIV-215,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"Based on user notes from v1.40.95.
Changed:
- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels.
- Stereo pair completeness.
- Live sound monitor vs PA separation.
- Existing v1.40.95 levels remain overridden by the v1.40.96 patch layer."
LIV-216,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"Changed:
- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels.
- Stereo pair completeness.
- Live sound monitor vs PA separation.
- Existing v1.40.95 levels remain overridden by the v1.40.96 patch layer."
LIV-217,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"Changed:
- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels.
- Stereo pair completeness.
- Live sound monitor vs PA separation.
- Existing v1.40.95 levels remain overridden by the v1.40.96 patch layer."
LIV-218,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels.
- Stereo pair completeness.
- Live sound monitor vs PA separation.
- Existing v1.40.95 levels remain overridden by the v1.40.96 patch layer."
LIV-219,docs/build_notes_history/BUILD_NOTES_v1_40_96_VISUAL_MODES_REWORK.txt,1,"- LIV-213 Visual Build now uses novice-friendly real-world names and a custom shelf/placement UI.
- Removed vague concepts such as Signal Utility Box.
- Renamed the stagebox concept to Stage Snake for beginner clarity, described as stage box plus multicore path.
- Icons are simplified toward real-world roles; snake is no longer represented by a dial-style utility icon.
- LIV-214 is now Flow Assembly: draggable gear icons move into signal-flow boxes instead of presenting another text-heavy patch list.
- LIV-215 is narrowed to a lightweight visual bad-cable review so it is not trying to duplicate Diagnose.
- LIV-216 now uses the established diagnosis/clinic board style because the existing diagnosis levels were stronger.
- LIV-217 Show Mode now shows a patched system with one bad route, tells the player where sound is not arriving, and asks for the correct repatch.
- Added explicit PST-102 and PST-103 level IDs in addition to legacy LIV-218/LIV-219 aliases.
- PST-102 implements infrastructure-based 5.1 routing: interface -> speaker processor -> physical speakers.
- PST-103 implements a visual convolution reverb / IR send-return lab.
Preserved:
- No core route data rewrites outside prototype levels.
- Stereo pair completeness.
- Live sound monitor vs PA separation.
- Existing v1.40.95 levels remain overridden by the v1.40.96 patch layer."
LIV-213,docs/build_notes_history/BUILD_NOTES_v1_40_97_VISUAL_MODES_CORRECTIVE.txt,1,"Signal Flow v1.40.97 Standalone - Visual Modes Corrective Pass
Base: v1.40.96 standalone.
User-note corrections applied:
- LIV-213: corrected to a novice-friendly real-world naming convention. Removed vague/non-real gear language such as Signal Utility Box. Stage box concept is now presented as Stage Snake for beginner clarity. Target drop boxes are numbered only, with no hidden answer text. Submit control is sticky/visible instead of trapped below the scroll area.
- LIV-214: rebuilt as a numbered visual flow assembly. Boxes are numbered only; the player must decide what goes where. Gear remains draggable/click-placeable after being placed so mistakes can be corrected.
- LIV-215: added a working Cable Inspection / Find the Bad Patch prototype. This is intentionally simpler than Diagnose: a visible cable is wrong and a silent meter indicates the affected destination.
- LIV-216: reverted to the existing/current diagnosis board style rather than the experimental visual diagnosis panel.
- LIV-217: rebuilt as a more visual Show Mode. It shows a patched live system with one visible wrong route: Aux 5 R is patched to PA Right instead of IEM TX R. The player is told only the symptom visually: right ear silent / IEM R meter dead.
- PST-102 / LIV-218: revised 5.1 prototype around real-world infrastructure: audio interface outputs feed a speaker processor, which maps to physical speakers. The lesson is preserving channel identity, not routing by content type.
- PST-103 / LIV-219: replaced prior IR workflow with a Space Match Lab. It shows a physical room preview and a Bricasti M7-style convolution IR selector with 24 impulse-response positions. Correct target is IR 24 / Production Room.
Validation:
- patch_v14097.js passed node --check.
- No core route engine changes intended; this is an overlay/prototype training-mode pass."
LIV-214,docs/build_notes_history/BUILD_NOTES_v1_40_97_VISUAL_MODES_CORRECTIVE.txt,1,"Signal Flow v1.40.97 Standalone - Visual Modes Corrective Pass
Base: v1.40.96 standalone.
User-note corrections applied:
- LIV-213: corrected to a novice-friendly real-world naming convention. Removed vague/non-real gear language such as Signal Utility Box. Stage box concept is now presented as Stage Snake for beginner clarity. Target drop boxes are numbered only, with no hidden answer text. Submit control is sticky/visible instead of trapped below the scroll area.
- LIV-214: rebuilt as a numbered visual flow assembly. Boxes are numbered only; the player must decide what goes where. Gear remains draggable/click-placeable after being placed so mistakes can be corrected.
- LIV-215: added a working Cable Inspection / Find the Bad Patch prototype. This is intentionally simpler than Diagnose: a visible cable is wrong and a silent meter indicates the affected destination.
- LIV-216: reverted to the existing/current diagnosis board style rather than the experimental visual diagnosis panel.
- LIV-217: rebuilt as a more visual Show Mode. It shows a patched live system with one visible wrong route: Aux 5 R is patched to PA Right instead of IEM TX R. The player is told only the symptom visually: right ear silent / IEM R meter dead.
- PST-102 / LIV-218: revised 5.1 prototype around real-world infrastructure: audio interface outputs feed a speaker processor, which maps to physical speakers. The lesson is preserving channel identity, not routing by content type.
- PST-103 / LIV-219: replaced prior IR workflow with a Space Match Lab. It shows a physical room preview and a Bricasti M7-style convolution IR selector with 24 impulse-response positions. Correct target is IR 24 / Production Room.
Validation:
- patch_v14097.js passed node --check.
- No core route engine changes intended; this is an overlay/prototype training-mode pass."
LIV-215,docs/build_notes_history/BUILD_NOTES_v1_40_97_VISUAL_MODES_CORRECTIVE.txt,1,"Signal Flow v1.40.97 Standalone - Visual Modes Corrective Pass
Base: v1.40.96 standalone.
User-note corrections applied:
- LIV-213: corrected to a novice-friendly real-world naming convention. Removed vague/non-real gear language such as Signal Utility Box. Stage box concept is now presented as Stage Snake for beginner clarity. Target drop boxes are numbered only, with no hidden answer text. Submit control is sticky/visible instead of trapped below the scroll area.
- LIV-214: rebuilt as a numbered visual flow assembly. Boxes are numbered only; the player must decide what goes where. Gear remains draggable/click-placeable after being placed so mistakes can be corrected.
- LIV-215: added a working Cable Inspection / Find the Bad Patch prototype. This is intentionally simpler than Diagnose: a visible cable is wrong and a silent meter indicates the affected destination.
- LIV-216: reverted to the existing/current diagnosis board style rather than the experimental visual diagnosis panel.
- LIV-217: rebuilt as a more visual Show Mode. It shows a patched live system with one visible wrong route: Aux 5 R is patched to PA Right instead of IEM TX R. The player is told only the symptom visually: right ear silent / IEM R meter dead.
- PST-102 / LIV-218: revised 5.1 prototype around real-world infrastructure: audio interface outputs feed a speaker processor, which maps to physical speakers. The lesson is preserving channel identity, not routing by content type.
- PST-103 / LIV-219: replaced prior IR workflow with a Space Match Lab. It shows a physical room preview and a Bricasti M7-style convolution IR selector with 24 impulse-response positions. Correct target is IR 24 / Production Room.
Validation:
- patch_v14097.js passed node --check.
- No core route engine changes intended; this is an overlay/prototype training-mode pass."
LIV-216,docs/build_notes_history/BUILD_NOTES_v1_40_97_VISUAL_MODES_CORRECTIVE.txt,1,"Signal Flow v1.40.97 Standalone - Visual Modes Corrective Pass
Base: v1.40.96 standalone.
User-note corrections applied:
- LIV-213: corrected to a novice-friendly real-world naming convention. Removed vague/non-real gear language such as Signal Utility Box. Stage box concept is now presented as Stage Snake for beginner clarity. Target drop boxes are numbered only, with no hidden answer text. Submit control is sticky/visible instead of trapped below the scroll area.
- LIV-214: rebuilt as a numbered visual flow assembly. Boxes are numbered only; the player must decide what goes where. Gear remains draggable/click-placeable after being placed so mistakes can be corrected.
- LIV-215: added a working Cable Inspection / Find the Bad Patch prototype. This is intentionally simpler than Diagnose: a visible cable is wrong and a silent meter indicates the affected destination.
- LIV-216: reverted to the existing/current diagnosis board style rather than the experimental visual diagnosis panel.
- LIV-217: rebuilt as a more visual Show Mode. It shows a patched live system with one visible wrong route: Aux 5 R is patched to PA Right instead of IEM TX R. The player is told only the symptom visually: right ear silent / IEM R meter dead.
- PST-102 / LIV-218: revised 5.1 prototype around real-world infrastructure: audio interface outputs feed a speaker processor, which maps to physical speakers. The lesson is preserving channel identity, not routing by content type.
- PST-103 / LIV-219: replaced prior IR workflow with a Space Match Lab. It shows a physical room preview and a Bricasti M7-style convolution IR selector with 24 impulse-response positions. Correct target is IR 24 / Production Room.
Validation:
- patch_v14097.js passed node --check.
- No core route engine changes intended; this is an overlay/prototype training-mode pass."
LIV-217,docs/build_notes_history/BUILD_NOTES_v1_40_97_VISUAL_MODES_CORRECTIVE.txt,1,"Base: v1.40.96 standalone.
User-note corrections applied:
- LIV-213: corrected to a novice-friendly real-world naming convention. Removed vague/non-real gear language such as Signal Utility Box. Stage box concept is now presented as Stage Snake for beginner clarity. Target drop boxes are numbered only, with no hidden answer text. Submit control is sticky/visible instead of trapped below the scroll area.
- LIV-214: rebuilt as a numbered visual flow assembly. Boxes are numbered only; the player must decide what goes where. Gear remains draggable/click-placeable after being placed so mistakes can be corrected.
- LIV-215: added a working Cable Inspection / Find the Bad Patch prototype. This is intentionally simpler than Diagnose: a visible cable is wrong and a silent meter indicates the affected destination.
- LIV-216: reverted to the existing/current diagnosis board style rather than the experimental visual diagnosis panel.
- LIV-217: rebuilt as a more visual Show Mode. It shows a patched live system with one visible wrong route: Aux 5 R is patched to PA Right instead of IEM TX R. The player is told only the symptom visually: right ear silent / IEM R meter dead.
- PST-102 / LIV-218: revised 5.1 prototype around real-world infrastructure: audio interface outputs feed a speaker processor, which maps to physical speakers. The lesson is preserving channel identity, not routing by content type.
- PST-103 / LIV-219: replaced prior IR workflow with a Space Match Lab. It shows a physical room preview and a Bricasti M7-style convolution IR selector with 24 impulse-response positions. Correct target is IR 24 / Production Room.
Validation:
- patch_v14097.js passed node --check.
- No core route engine changes intended; this is an overlay/prototype training-mode pass."
