level_id,board_type,concept,required_asset_ids,optional_asset_ids,reusable_existing_paths,missing_asset_ids,likely_route_families,stereo_pair_requirements,false_route_families,notes
LIV-034,patch,Lobby overflow backstage feed,ls_matrix_patch_panel_8out|ls_lobby_speaker|ls_backstage_program_speaker|ls_under_balcony_speaker|ls_distributed_zone_amp_rack,ls_assistive_listening_tx,assets/live-sound/svg/hardware/power-amplifier.svg|assets/build-room/svg/gear/main PA speaker syste.svg,ls_matrix_patch_panel_8out|ls_lobby_speaker|ls_backstage_program_speaker|ls_under_balcony_speaker|ls_distributed_zone_amp_rack,matrix_to_distributed_zones,mostly mono zone feeds unless designed as stereo,monitor_aux|record_out|wrong_matrix_number|main_out,Starts distributed venue routing
LIV-035,ir_listening,Match venue or reverb treatment,ls_ir_theater_space_pack,none,assets/IR images/Concert Hall.png|assets/IR images/Church Interior.png|assets/IR images/Cathedral.png,none,ir_room_treatment_match,none,wrong_decay_or_room_size,Use existing IR library with optional theater polish
LIV-036,quiz_diagnosis,Aux vs group vs matrix vs DCA,ls_matrix_patch_panel_8out|ls_monitor_send_fault_scene,ls_matrix_processor_zone_dsp,assets/diagnosis/svg/backgrounds/diagnosis-board-shell.svg|assets/live-sound/svg/hardware/foh-console-liv006-matrix-main-outs.svg,ls_matrix_patch_panel_8out,concept_family_selection,none,aux_vs_matrix|bus_vs_dca|record_vs_stream,Concept checkpoint before complex matrix and venue boards
LIV-037,patch,Corporate ballroom with main PA lobby record presenter wedge,ls_corporate_podium_wedge|ls_lobby_speaker|ls_stream_broadcast_feed_box|ls_matrix_patch_panel_8out,ls_frontfill_pair|ls_distributed_zone_amp_rack,assets/build-room/svg/gear/Stream encoder.svg|assets/live-sound/svg/hardware/full-pa-system-line-array-over-subs-renderstyle-standalone.svg,ls_corporate_podium_wedge|ls_lobby_speaker|ls_stream_broadcast_feed_box|ls_matrix_patch_panel_8out,main_pa|matrix_lobby|record_feed|aux_presenter_wedge,record or stream L/R pair if stereo,monitor_to_lobby|main_to_record_only|wrong_matrix,Applied mixed-use routing board
LIV-038,patch,House of worship with band IEMs choir mics stream feed,ls_house_stream_control_panel|ls_stream_broadcast_feed_box|ls_personal_mono_iem_pack|ls_transformer_split_rack,ls_broadcast_record_split_panel,assets/live-sound/svg/hardware/keyboard0.svg|assets/drums/svg/drum-kit-5-piece-8-hitboxes.svg|assets/build-room/svg/gear/Stream encoder.svg,ls_house_stream_control_panel|ls_stream_broadcast_feed_box|ls_personal_mono_iem_pack|ls_transformer_split_rack,band_sources_to_split|aux_to_iem|program_to_stream,stream L/R must validate as pair,main_pa_to_iem|monitor_aux_to_stream|network_only,Large applied venue with stream ownership
LIV-039,patch,Festival guest console playback MC mic,ls_transformer_split_rack|ls_foh_split_panel|ls_monitor_split_panel,ls_sidefill_stack|ls_stream_broadcast_feed_box,assets/live-sound/svg/hardware/live mic.svg|assets/build-room/svg/gear/mixing-console-open-case-goodstyle.svg,ls_transformer_split_rack|ls_foh_split_panel|ls_monitor_split_panel,guest_console_to_system|playback_to_foh|mc_to_pa,playback L/R pair if stereo,record_only_playback|wrong_split_leg|monitor_only_mc,Tests guest-console and playback integration
LIV-040,patch,Complex matrix zone setup,ls_matrix_processor_zone_dsp|ls_matrix_patch_panel_8out|ls_distributed_zone_amp_rack|ls_lobby_speaker|ls_under_balcony_speaker|ls_assistive_listening_tx,ls_frontfill_pair|ls_outfill_pair,assets/build-room/svg/gear/Matrix router.svg|assets/build-room/svg/gear/System Matrix.svg,ls_matrix_processor_zone_dsp|ls_matrix_patch_panel_8out|ls_distributed_zone_amp_rack|ls_lobby_speaker|ls_under_balcony_speaker|ls_assistive_listening_tx,matrix_1_8_to_zones,specific zones may be mono or stereo by design,wrong_matrix_number|main_l_r|aux_outs|network_control,Matrix mastery board before Build-a-Room capstone
LIV-041,build-room,Multi-zone venue design,ls_matrix_processor_zone_dsp|ls_distributed_zone_amp_rack|ls_frontfill_pair|ls_outfill_pair|ls_lobby_speaker|ls_backstage_program_speaker,ls_assistive_listening_tx|ls_under_balcony_speaker,assets/build-room/svg/gear/Matrix router.svg|assets/build-room/svg/gear/frontfill.svg|assets/build-room/svg/gear/main PA speaker syste.svg,ls_matrix_processor_zone_dsp|ls_distributed_zone_amp_rack|ls_frontfill_pair|ls_outfill_pair|ls_lobby_speaker|ls_backstage_program_speaker,build_room_zone_system_selection,none,missing_dsp|missing_zone_amp|wrong_monitor_assets,Keep Build-a-Room layout locked and use thumbnails
LIV-042,patch,Musical orchestra pit stagebox,ls_orchestra_pit_layout_base|ls_pit_stagebox|ls_strings_source_art|ls_woodwinds_source_art|ls_brass_source_art|ls_percussion_timpani_source_art|ls_piano_keyboard_source_art,ls_harp_source_art,assets/live-sound/svg/hardware/stagebox-snake-head-16x2-aes.svg|assets/live-sound/svg/hardware/keyboard0.svg,ls_orchestra_pit_layout_base|ls_pit_stagebox|ls_strings_source_art|ls_woodwinds_source_art|ls_brass_source_art|ls_percussion_timpani_source_art|ls_piano_keyboard_source_art,pit_sources_to_pit_stagebox,section mic pairs must validate L/R where labeled,stage_vocal_inputs|wrong_section_inputs|network,First theater source density board
LIV-043,patch,Musical stage vocals plus pit plus backstage monitor,ls_stage_vocal_bodypack_source|ls_pit_stagebox|ls_backstage_program_speaker|ls_orchestra_pit_layout_base,ls_strings_source_art|ls_woodwinds_source_art,assets/live-sound/svg/hardware/live mic.svg|assets/live-sound/svg/hardware/stagebox-snake-head-16x2-aes.svg,ls_stage_vocal_bodypack_source|ls_pit_stagebox|ls_backstage_program_speaker|ls_orchestra_pit_layout_base,pit_sources|stage_vocals|backstage_program,program L/R only if designed stereo,stage_vocal_to_pit_input|pit_to_bodypack|wrong_matrix,Combines theater source domains
LIV-044,patch,Musical conductor cam click cue sends,ls_conductor_monitor|ls_conductor_camera_video_monitor|ls_click_cue_playback_box|ls_stage_manager_comm_cue_box,ls_talkback_source_box,assets/build-room/svg/gear/desktop-processor-unit-goodstyle.svg|assets/build-room/svg/gear/ifb-transmitter-bodypack-amber-led.svg,ls_conductor_monitor|ls_conductor_camera_video_monitor|ls_click_cue_playback_box|ls_stage_manager_comm_cue_box,click_to_conductor|cue_to_monitor|video_to_monitor,cue L/R pair if stereo cue is used,video_as_audio|main_pa|record_out|network_control,Keep audio cue and video/control traps fair
LIV-045,diagnosis,Musical monitor failure or wrong matrix zone,ls_theater_commissioning_fault_art|ls_conductor_monitor|ls_stage_manager_comm_cue_box,ls_matrix_patch_panel_8out,assets/diagnosis/svg/backgrounds/diagnosis-board-shell.svg|assets/diagnosis/svg/monitors/signal-flow-patch-tester.svg,ls_theater_commissioning_fault_art|ls_conductor_monitor|ls_stage_manager_comm_cue_box,diagnose_wrong_zone_or_cue,missing L/R side can be one possible fault,wrong_matrix|main_out|video_only|record_out,Advanced diagnosis after theater cue concepts
LIV-046,ir_listening,Theater or room response check,ls_ir_theater_space_pack,ls_orchestra_pit_layout_base,assets/IR images/Scoring Stage.png|assets/IR images/Soundstage.png|assets/IR images/Concert Hall.png,none,ir_theater_response_match,none,wrong_space|wrong_decay|wrong_treatment,Can reuse existing IR images
LIV-047,patch,Musical full pit monitor setup,ls_pit_wedge_monitors|ls_pit_personal_mixers|ls_pit_stagebox|ls_conductor_monitor,ls_click_cue_playback_box|ls_orchestra_pit_layout_base,assets/live-sound/svg/hardware/monitor-wedge-input-panel.svg|assets/build-room/svg/gear/iem-receiver-bodypack-teal-led.svg,ls_pit_wedge_monitors|ls_pit_personal_mixers|ls_pit_stagebox|ls_conductor_monitor,pit_monitor_sends|personal_mixer_feeds,pit personal mixers may require L/R mix pair,pit_wedge_wrong_section|network_control|main_pa,Deep pit monitor workflow
LIV-048,patch,Theater distributed zones,ls_matrix_patch_panel_8out|ls_distributed_zone_amp_rack|ls_backstage_program_speaker|ls_lobby_speaker|ls_under_balcony_speaker|ls_assistive_listening_tx,ls_stage_manager_comm_cue_box,assets/live-sound/svg/hardware/power-amplifier.svg|assets/build-room/svg/gear/ifb-transmitter-bodypack-amber-led.svg,ls_matrix_patch_panel_8out|ls_distributed_zone_amp_rack|ls_backstage_program_speaker|ls_lobby_speaker|ls_under_balcony_speaker|ls_assistive_listening_tx,matrix_to_theater_zones,assistive listening and lobby may be L/R by design,wrong_matrix|monitor_aux|main_l_r|record_out,Theater-specific matrix distribution
LIV-049,patch_capstone,Full musical with orchestra pit stage vocals IEM wedges effects matrix zones,ls_orchestra_pit_layout_base|ls_pit_stagebox|ls_stage_vocal_bodypack_source|ls_pit_wedge_monitors|ls_pit_personal_mixers|ls_click_cue_playback_box|ls_matrix_processor_zone_dsp|ls_matrix_patch_panel_8out|ls_distributed_zone_amp_rack|ls_stream_broadcast_feed_box,ls_strings_source_art|ls_woodwinds_source_art|ls_brass_source_art|ls_percussion_timpani_source_art|ls_harp_source_art|ls_piano_keyboard_source_art,assets/live-sound/svg/hardware/fx-rack-liv019-reverb.svg|assets/live-sound/svg/hardware/fx-rack-liv019-delay.svg,ls_orchestra_pit_layout_base|ls_pit_stagebox|ls_stage_vocal_bodypack_source|ls_pit_wedge_monitors|ls_pit_personal_mixers|ls_click_cue_playback_box|ls_matrix_processor_zone_dsp|ls_matrix_patch_panel_8out|ls_distributed_zone_amp_rack|ls_stream_broadcast_feed_box,full_system_patch_integration,multiple L/R pairs for stream FX cue and matrix zones,aux_vs_bus|bus_vs_matrix|split_vs_record|wrong_zone|missing_stereo_side,Capstone should test decision-making not just cable count
LIV-050,final_diagnosis,Find and fix errors in the full musical system,ls_theater_commissioning_fault_art|ls_stage_manager_comm_cue_box|ls_conductor_monitor|ls_matrix_patch_panel_8out,ls_ir_theater_space_pack|ls_pit_personal_mixers,assets/diagnosis/svg/backgrounds/diagnosis-board-shell.svg|assets/diagnosis/svg/monitors/audio-analyzer.svg,ls_theater_commissioning_fault_art|ls_stage_manager_comm_cue_box|ls_conductor_monitor|ls_matrix_patch_panel_8out,commissioning_fault_isolation,stereo pair faults should be first-class possible errors,wrong_matrix_zone|wrong_split_leg|record_out_as_program|left_only_iem,Final board can include multiple faults if UI presents them clearly
