level_id,status,route_index,title,source_label,destination_label,source_node_key,destination_node_key,route_key,stereo_route,stereo_side,stereo_group,equipment_needed,generated_jack_families,false_or_misleading_jacks,notes
LIV-006,patch-board,3,Delay tower route,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-007,patch-board,1,Broadcast split,Broadcast Split L,Record Out L,broadcast-split-l,record-out-l,broadcast-split-l-to-record-out-l,yes,left,Broadcast Split {SIDE} -> Record Out {SIDE},FOH console; Recorder / broadcast destination,Broadcast Split L; Broadcast Split R; Record Out L; Record Out R,Crossed broadcast/record L/R jacks,
LIV-007,patch-board,2,Broadcast split,Broadcast Split R,Record Out R,broadcast-split-r,record-out-r,broadcast-split-r-to-record-out-r,yes,right,Broadcast Split {SIDE} -> Record Out {SIDE},FOH console; Recorder / broadcast destination,Broadcast Split L; Broadcast Split R; Record Out L; Record Out R,Crossed broadcast/record L/R jacks,
LIV-008,non-patch-do-not-convert,1,Talkback to monitor system,Talkback Mic,Stage Box Input 14,talkback-mic,stagebox-input-14,talkback-mic-to-stagebox-input-14,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs; PA mains / front-fill destinations as unsafe talkback traps,
LIV-008,non-patch-do-not-convert,2,Talkback to monitor system,Talkback Output,In-Ear B Input,talkback-output,in-ear-b-in,talkback-output-to-in-ear-b-in,no,,,FOH console; In-Ear Monitoring rack,In-Ear Monitoring inputs A and B; Talkback Output; nearby false FOH outputs,Wrong IEM side/input; Main output as unsafe monitor-source trap; PA mains / front-fill destinations as unsafe talkback traps,
LIV-009,patch-board,1,Keyboard stereo inputs,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-009,patch-board,2,Keyboard stereo inputs,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-010,patch-board,1,Main PA amp feed,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-010,patch-board,2,Main PA amp feed,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-010,patch-board,3,Main PA amp feed,System Processor L Out,Main PA L Input,system-processor-l-out,main-pa-l-input,system-processor-l-out-to-main-pa-l-input,yes,left,System Processor {SIDE} Out -> Main PA {SIDE} Input,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-010,patch-board,4,Main PA amp feed,System Processor R Out,Main PA R Input,system-processor-r-out,main-pa-r-input,system-processor-r-out-to-main-pa-r-input,yes,right,System Processor {SIDE} Out -> Main PA {SIDE} Input,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-011,patch-board,1,Lead Vocal Mic to FOH,Lead Vocal Mic,Stage Box Input 11,lead-vocal-mic,stagebox-input-11,lead-vocal-mic-to-stagebox-input-11,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-011,patch-board,2,Lead Vocal Mic to FOH,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-011,patch-board,3,Lead Vocal Mic to FOH,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-011,patch-board,4,Lead Vocal Mic to FOH,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-011,patch-board,5,Lead Vocal Mic to FOH,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-012,patch-board,1,Vocal wedge mix 4,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-012,patch-board,2,Vocal wedge mix 4,FOH Aux 1 Output,Vocal Wedge Input,foh-aux-1-output,vocal-wedge-input,foh-aux-1-output-to-vocal-wedge-input,no,,,FOH console; Vocal wedge monitor,FOH Aux outputs used by level; Vocal Wedge Input,Wrong aux output,
LIV-012,patch-board,3,Vocal wedge mix 4,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-012,patch-board,4,Vocal wedge mix 4,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-013,non-patch-do-not-convert,1,Stereo IEM send 1,FOH Aux 5 L Output,IEM TX A Left Input,foh-aux-5-l-output,iem-tx-a-left-input,foh-aux-5-l-output-to-iem-tx-a-left-input,yes,left,FOH Aux 5 {SIDE} Output -> IEM TX A {SIDE} Input,FOH console; IEM transmitter,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; optional B pair if level uses B,Wrong IEM side/input; Main output as unsafe monitor-source trap; Wrong aux output,
LIV-013,non-patch-do-not-convert,2,Stereo IEM send 1,FOH Aux 5 R Output,IEM TX A Right Input,foh-aux-5-r-output,iem-tx-a-right-input,foh-aux-5-r-output-to-iem-tx-a-right-input,yes,right,FOH Aux 5 {SIDE} Output -> IEM TX A {SIDE} Input,FOH console; IEM transmitter,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; optional B pair if level uses B,Wrong IEM side/input; Main output as unsafe monitor-source trap; Wrong aux output,
LIV-013,non-patch-do-not-convert,3,Stereo IEM send 1,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-013,non-patch-do-not-convert,4,Stereo IEM send 1,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-013,non-patch-do-not-convert,5,Stereo IEM send 1,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-014,non-patch-do-not-convert,1,Front fill matrix,Matrix 1 Output,Front Fill Processor Input,matrix-1-output,front-fill-processor-input,matrix-1-output-to-front-fill-processor-input,no,,,FOH console; Front-fill processor,FOH Matrix outputs 1-3 or level-specific matrix set,Wrong matrix output,
LIV-014,non-patch-do-not-convert,2,Front fill matrix,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-014,non-patch-do-not-convert,3,Front fill matrix,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-014,non-patch-do-not-convert,4,Front fill matrix,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-015,patch-board,1,Sub matrix feed,Matrix 2 Output,Sub Processor Input,matrix-2-output,sub-processor-input,matrix-2-output-to-sub-processor-input,no,,,FOH console; Sub processor,FOH Matrix outputs 1-3 or level-specific matrix set; Sub Input / Sub Processor Input,Wrong matrix output,
LIV-015,patch-board,2,Sub matrix feed,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-015,patch-board,3,Sub matrix feed,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-015,patch-board,4,Sub matrix feed,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-016,patch-board,1,Delay tower route,Matrix 3 Output,Delay Tower Processor Input,matrix-3-output,delay-tower-processor-input,matrix-3-output-to-delay-tower-processor-input,no,,,Delay tower processing; FOH console,Delay Tower Processor Input / Delay Input; FOH Matrix outputs 1-3 or level-specific matrix set,Wrong matrix output,
LIV-016,patch-board,2,Delay tower route,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-016,patch-board,3,Delay tower route,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-016,patch-board,4,Delay tower route,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-017,non-patch-do-not-convert,1,Broadcast split,Broadcast Split L,Record Out L,broadcast-split-l,record-out-l,broadcast-split-l-to-record-out-l,yes,left,Broadcast Split {SIDE} -> Record Out {SIDE},FOH console; Recorder / broadcast destination,Broadcast Split L; Broadcast Split R; Record Out L; Record Out R,Crossed broadcast/record L/R jacks,
LIV-017,non-patch-do-not-convert,2,Broadcast split,Broadcast Split R,Record Out R,broadcast-split-r,record-out-r,broadcast-split-r-to-record-out-r,yes,right,Broadcast Split {SIDE} -> Record Out {SIDE},FOH console; Recorder / broadcast destination,Broadcast Split L; Broadcast Split R; Record Out L; Record Out R,Crossed broadcast/record L/R jacks,
LIV-017,non-patch-do-not-convert,3,Broadcast split,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-017,non-patch-do-not-convert,4,Broadcast split,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-017,non-patch-do-not-convert,5,Broadcast split,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-018,patch-board,1,Talkback to monitor system,Talkback Mic,Stage Box Input 14,talkback-mic,stagebox-input-14,talkback-mic-to-stagebox-input-14,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs; PA mains / front-fill destinations as unsafe talkback traps,
LIV-018,patch-board,2,Talkback to monitor system,Talkback Output,In-Ear B Input,talkback-output,in-ear-b-in,talkback-output-to-in-ear-b-in,no,,,FOH console; In-Ear Monitoring rack,In-Ear Monitoring inputs A and B; Talkback Output; nearby false FOH outputs,Wrong IEM side/input; Main output as unsafe monitor-source trap; PA mains / front-fill destinations as unsafe talkback traps,
LIV-018,patch-board,3,Talkback to monitor system,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-018,patch-board,4,Talkback to monitor system,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-018,patch-board,5,Talkback to monitor system,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-019,patch-board,1,Keyboard stereo inputs,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-019,patch-board,2,Keyboard stereo inputs,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-019,patch-board,3,Keyboard stereo inputs,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-019,patch-board,4,Keyboard stereo inputs,Talkback Mic,Stage Box Input 14,talkback-mic,stagebox-input-14,talkback-mic-to-stagebox-input-14,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs; PA mains / front-fill destinations as unsafe talkback traps,
LIV-020,patch-board,1,Main PA amp feed,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-020,patch-board,2,Main PA amp feed,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-020,patch-board,3,Main PA amp feed,System Processor L Out,Main PA L Input,system-processor-l-out,main-pa-l-input,system-processor-l-out-to-main-pa-l-input,yes,left,System Processor {SIDE} Out -> Main PA {SIDE} Input,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-020,patch-board,4,Main PA amp feed,System Processor R Out,Main PA R Input,system-processor-r-out,main-pa-r-input,system-processor-r-out-to-main-pa-r-input,yes,right,System Processor {SIDE} Out -> Main PA {SIDE} Input,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-021,patch-board,1,Lead Vocal Mic to FOH,Lead Vocal Mic,Stage Box Input 9,lead-vocal-mic,stagebox-input-9,lead-vocal-mic-to-stagebox-input-9,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-021,patch-board,2,Lead Vocal Mic to FOH,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-021,patch-board,3,Lead Vocal Mic to FOH,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-021,patch-board,4,Lead Vocal Mic to FOH,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-021,patch-board,5,Lead Vocal Mic to FOH,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-022,non-patch-do-not-convert,1,Vocal wedge mix 2,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-022,non-patch-do-not-convert,2,Vocal wedge mix 2,FOH Aux 1 Output,Vocal Wedge Input,foh-aux-1-output,vocal-wedge-input,foh-aux-1-output-to-vocal-wedge-input,no,,,FOH console; Vocal wedge monitor,FOH Aux outputs used by level; Vocal Wedge Input,Wrong aux output,
LIV-022,non-patch-do-not-convert,3,Vocal wedge mix 2,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-022,non-patch-do-not-convert,4,Vocal wedge mix 2,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-022,non-patch-do-not-convert,5,Vocal wedge mix 2,Talkback Mic,Stage Box Input 14,talkback-mic,stagebox-input-14,talkback-mic-to-stagebox-input-14,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs; PA mains / front-fill destinations as unsafe talkback traps,
LIV-023,patch-board,1,Stereo IEM send 1,FOH Aux 5 L Output,IEM TX A Left Input,foh-aux-5-l-output,iem-tx-a-left-input,foh-aux-5-l-output-to-iem-tx-a-left-input,yes,left,FOH Aux 5 {SIDE} Output -> IEM TX A {SIDE} Input,FOH console; IEM transmitter,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; optional B pair if level uses B,Wrong IEM side/input; Main output as unsafe monitor-source trap; Wrong aux output,
LIV-023,patch-board,2,Stereo IEM send 1,FOH Aux 5 R Output,IEM TX A Right Input,foh-aux-5-r-output,iem-tx-a-right-input,foh-aux-5-r-output-to-iem-tx-a-right-input,yes,right,FOH Aux 5 {SIDE} Output -> IEM TX A {SIDE} Input,FOH console; IEM transmitter,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; optional B pair if level uses B,Wrong IEM side/input; Main output as unsafe monitor-source trap; Wrong aux output,
LIV-023,patch-board,3,Stereo IEM send 1,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-023,patch-board,4,Stereo IEM send 1,Keys L DI,Stage Box Input 7,keys-l-di,stagebox-input-7,keys-l-di-to-stagebox-input-7,yes,left,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-023,patch-board,5,Stereo IEM send 1,Keys R DI,Stage Box Input 8,keys-r-di,stagebox-input-8,keys-r-di-to-stagebox-input-8,yes,right,Keys {SIDE} DI,16-channel stagebox; DI source,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-024,non-patch-do-not-convert,1,Front fill matrix,Matrix 1 Output,Front Fill Processor Input,matrix-1-output,front-fill-processor-input,matrix-1-output-to-front-fill-processor-input,no,,,FOH console; Front-fill processor,FOH Matrix outputs 1-3 or level-specific matrix set,Wrong matrix output,
LIV-024,non-patch-do-not-convert,2,Front fill matrix,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-024,non-patch-do-not-convert,3,Front fill matrix,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
